NUMBER;CLAS_SIFICATION;DATE_CASE;REF;NOT_COUNTRY;SUBJET;PROD_CAT;TYPE;RISK_DECISION;ACTION_TAKEN;DISTRIBUTION_STAT;PRODUCT;HAZARDS;HAZARDS_CAT;ORIG_COUNTRY;DESTIN_COUNTRY;CONCERN_COUNTRY
"3340;information notification for attention;2022-09-08;2022.5231;Belgium;Detection of Salmonella (in 25g) in mussels from France, with raw materials from Spain;bivalve molluscs and products thereof;food;serious;Recall from consumer;Product (presumably) no longer on the market;Mussels of Spain;Salmonella  enteritidis ;Pathogenic micro-organisms;Spain;Luxembourg;Belgium"
"3341;information notification for attention;2022-09-08;2022.5229;Poland;Salmonella Infantis in fresh poultry meat from Poland;poultry meat and poultry meat products;food;not serious;Reinforced checking;Product (presumably) no longer on the market;Poultry meat, fresh;Salmonella infantis ;Pathogenic micro-organisms;Poland;Germany,Poland;Poland"
3342;alert notification;2022-09-08;2022.5228;France;salmonella in veal minced meat;meat and meat products (other than poultry);food;serious;Withdrawal from the market;Distribution to other member countries;Veal minced meat;Salmonella  enteritidis ;Pathogenic micro-organisms;France;Belgium;France
"3343;alert notification;2022-09-08;2022.5223;Germany;Foreign body (metal wire) in marinated organic pork steaks from Germany, with raw material from Denmark;meat and meat products (other than poultry);food;serious;Withdrawal from the market;Distribution to other member countries;Marinated organic neck steaks from pork;foreign body  ;Foreign bodies;Germany;Austria,Germany,United States;Germany"
"3344;alert notification;2022-09-08;2022.5222;Germany;Unauthorized substances matrin and oxymatrin in licorice, dried from Turkey;herbs and spices;food;serious;Withdrawal from recipient(s);Distribution to other member countries;Licorice, dried;matrine  unauthorised substance,oxymatrine  ;Pesticide residues;Turkey;Germany,Italy,Netherlands,Sweden,Switzerland;Germany"
"3345;information notification for attention;2022-09-08;2022.522;France;Vibrio cholerae, vibrio parahaemolyticus and vibrio vulnificus detected in frozen shrimps from Vietnam;crustaceans and products thereof;food;serious;Withdrawal from the market;Distribution restricted to notifying country;Frozen shrimp;Vibrio cholerae ,Vibrio parahaemolyticus ,Vibrio vulnificus ;Pathogenic micro-organisms;Vietnam;France,Vietnam;France"
"3346;information notification for attention;2022-09-08;2022.5218;Austria;Campylobacter in guinea fowl from France, via Germany;poultry meat and poultry meat products;food;undecided;Informing authorities;Product (presumably) no longer on the market;Perlhuhn // guinea fowl;Campylobacter coli ;Pathogenic micro-organisms;France;Austria,Germany;Austria"
"3347;border rejection notification;2022-09-08;2022.5215;Belgium;Pesticides residues in basil from Israel;herbs and spices;food;serious;Informing authorities;Product not (yet) placed on the market;Basil;bromopropylate  ,chlorpyrifos  unauthorised substance,pyraclostrobin  ;Pesticide residues;Israel;Belgium;Belgium"
"3348;alert notification;2022-09-08;2022.5211;Poland;Shigatoxin-producing Escherichia coli (STEC) in mix of lettuce and beetroot from Poland;fruits and vegetables;food;serious;Withdrawal from the market;Product (presumably) no longer on the market;Mix of lettuce and beetroot;Escherichia coli shigatoxin-producing ;Pathogenic micro-organisms;Poland;Czech Republic,Poland,Slovakia;Poland"
"3349;alert notification;2022-09-07;2022.5205;France;coagulase-positive Staphylococcus (> 120 CFU/g) in nem chua bla from France;prepared dishes and snacks;food;serious;Withdrawal from the market;Distribution to other member countries;Nems;Staphylococcus coagulase-positive ;Pathogenic micro-organisms;France;Belgium,Ireland,Netherlands;France"
"3350;alert notification;2022-09-07;2022.5204;Denmark;Histamine in frozen Indian mackerel from Vietnam;fish and fish products;food;serious;Withdrawal from recipient(s);Distribution to other member countries;Indian Mackerel;histamine  ;Biological contaminants;Sweden;Denmark,Sweden;Denmark"
3351;information notification for attention;2022-09-07;2022.5203;Netherlands;Salmonella enteritidis in chilled chicken breast from the Netherlands;poultry meat and poultry meat products;food;serious;Informing recipient(s);Product (presumably) no longer on the market;Chicken breast;Salmonella Enteritidis ;Pathogenic micro-organisms;Netherlands;Belgium;Netherlands
"3352;information notification for follow-up;2022-09-07;2022.5198;Latvia;Unauthorised substance 2-chloro-ethanol 7,5 Â± 3,75 mg/kg (expr. as ethylene oxide) in food supplement from Lithuania;dietetic foods, food supplements and fortified foods;food;undecided;Withdrawal from the market;No distribution from notifying country;Fiber Colon Detox;ethylene oxide  ;Pesticide residues;Lithuania;Latvia;Latvia"
3353;information notification for attention;2022-09-07;2022.5193;Lithuania;Salmonella Infantis (in 4 out of 5 samples) in broiler chicken thighs from Poland;poultry meat and poultry meat products;food;not serious;Prohibition to trade - sales ban;Product (presumably) no longer on the market;Broiler chicken thighs;Salmonella infantis ;Pathogenic micro-organisms;Poland;Lithuania;Lithuania
3354;border rejection notification;2022-09-07;2022.519;Croatia;Pesticide residues of thiacloprid in grapes from Republic of North Macedonia;fruits and vegetables;food;no risk;Return to consignor;Product not (yet) placed on the market;White table grapes;thiacloprid  ;Pesticide residues;Republic of North Macedonia;Croatia;Croatia
3355;border rejection notification;2022-09-07;2022.5188;Cyprus;Unauthorised substance chlorpyrifos in Red globe jumbo (raisins) from Chile;fruits and vegetables;food;undecided;Official detention;Product not (yet) placed on the market;Red Globe Jumbo (raisins);chlorpyrifos  unauthorised substance;Pesticide residues;Chile;Cyprus;Cyprus
3356;information notification for attention;2022-09-06;2022.5177;Germany;Salmonella Amsterdam in halva with pistachios from Syria;confectionery;food;serious;Withdrawal from recipient(s);Distribution restricted to notifying country;Halva with pistachios;Salmonella Amsterdam ;Pathogenic micro-organisms;Syria;Germany;Germany
"3357;information notification for follow-up;2022-09-06;2022.5174;Poland;frozen carrot finding that the MRL for cadmium has been exceeded;fruits and vegetables;food;not serious;Withdrawal from the market;Distribution to non-member countries only;Frozen carrot;cadmium  ;Heavy metals;Belgium,Netherlands;Austria,Belgium,Czech Republic,France,Germany,Hungary,Netherlands,Poland,Serbia,Slovakia,Switzerland,United Kingdom;Poland"
"3358;border rejection notification;2022-09-06;2022.5173;Germany;Salmonella enterica ser. Albany and Salmonella enterica ser. Weybridge in sesame seeds from Nigeria;nuts, nut products and seeds;food;serious;Official detention;Product not (yet) placed on the market;Sesame seeds;Salmonella Albany ,Salmonella Weybridge ;Pathogenic micro-organisms;Nigeria;Germany;Germany"
"3359;alert notification;2022-09-06;2022.5172;Italy;Presence of undeclared walnuts in vegan cheesecake from Italy;ices and desserts;food;serious;Recall from consumer;Distribution to other member countries;Cheesecake Vegan;nuts  undeclared;Allergens;Italy;Belgium,Bulgaria,Finland,Germany,Ireland,Netherlands,Northern Ireland,Romania,Sweden,United Kingdom;Italy"
"3360;alert notification;2022-09-06;2022.5164;Germany;Ochratoxin A in chopped dried figs from Turkey;fruits and vegetables;food;serious;Withdrawal from recipient(s);Distribution restricted to notifying country;Chopped dried figs;ochratoxin A  ;Mycotoxins;Germany,Turkey;Germany,Switzerland;Germany"
3361;border rejection notification;2022-09-06;2022.5162;Croatia;Pesticide residues of formetanate in horn pepers from Bosnia and Herzegowina;fruits and vegetables;food;no risk;Return to consignor;Product not (yet) placed on the market;Fresh peppers;formetanate  ;Pesticide residues;Bosnia and Herzegovina;Croatia;Croatia
3362;alert notification;2022-09-05;2022.5149;France;Presence of salmonella enteritidis of chicken;poultry meat and poultry meat products;food;serious;Recall from consumer;Distribution to other member countries;Meat of chicken;Salmonella Enteritidis ;Pathogenic micro-organisms;France;Germany;France
"3363;alert notification;2022-09-05;2022.514;Germany;Unauthorized substance ofloxacin in raw frog legs from Vietnam, via the Netherlands;meat and meat products (other than poultry);food;serious;Recall from consumer;No distribution to other member countries;Raw frog legs;ofloxacin  unauthorised;Residues of veterinary medicinal products;Vietnam;Austria,Bulgaria,Croatia,Estonia,Germany,Greece,Netherlands,Norway,Poland,Romania,Sweden,Switzerland;Germany"
"3364;border rejection notification;2022-09-05;2022.5126;Greece;SALMONELLA IN SESAME SEEDS FROM NIGERIA;nuts, nut products and seeds;food;serious;Physical treatment - heat treatment;Product not (yet) placed on the market;SESAME SEEDS;Salmonella  enteritidis ;Pathogenic micro-organisms;Nigeria;Turkey;Greece"
"3365;alert notification;2022-09-05;2022.512;France;too high count of Escherichia coli in mussels from France;bivalve molluscs and products thereof;food;serious;Withdrawal from the market;Distribution to other member countries;Mussels;Escherichia coli  high count;Pathogenic micro-organisms;France;France,Spain;France"
"3366;border rejection notification;2022-09-05;2022.5115;Croatia;Titanium oxide in Food additives E171;dietetic foods, food supplements and fortified foods;food;serious;Return to consignor;Product allowed to travel to destination under customs seals;Food supplements;colour E 171 - titanium dioxide unauthorised use;Food additives and flavourings;Serbia;Croatia;Croatia"
"3367;information notification for attention;2022-09-02;2022.511;Poland;Cadmium in spinach from Poland, raw material from Germany;fruits and vegetables;food;serious;Reinforced checking;Product (presumably) no longer on the market;Spinach Baby;cadmium  ;Heavy metals;Germany;Poland;Poland"
"3368;information notification for attention;2022-09-02;2022.5106;France;Detection of vibrio in shrimp from venezuela;crustaceans and products thereof;food;serious;Withdrawal from the market;Information on distribution not (yet) available;Frozen shrimp;Vibrio vulnificus ;Pathogenic micro-organisms;Venezuela;France,Venezuela;France"
"3369;alert notification;2022-09-02;2022.5105;Netherlands;3-MCPD in sunflower oil from Germany;fats and oils;food;serious;Detained by operator;Distribution to other member countries;Sunflower oil;3-monochlor-1,2-propanediol (3-MCPD)  ;Industrial contaminants;Germany;Germany,Netherlands,Poland,Sweden,United Kingdom;Netherlands"
"3370;alert notification;2022-09-02;2022.5103;Netherlands;Mercury in organic chlorella tablets from China;dietetic foods, food supplements and fortified foods;food;serious;Informing recipient(s);Distribution to other member countries;Organic chlorella;mercury  ;Heavy metals;China;Germany,Netherlands;Netherlands"
"3371;alert notification;2022-09-02;2022.5095;Slovenia;Salmonella in tahini halva with pistacia from Turkey;confectionery;food;serious;Informing recipient(s);Distribution to other member countries;Tahini Halva mit Pistazien;Salmonella  enteritidis ,Salmonella Mbandaka ;Pathogenic micro-organisms;Turkey;Austria,Denmark,France,Germany,Hungary,Netherlands,Slovenia,Sweden;Slovenia"
"3372;alert notification;2022-09-01;2022.508;Belgium;Fosthiazate in potatoes from Belgium;fruits and vegetables;food;serious;Recall from consumer;Distribution to other member countries;Potatoes ""Annabelle"";fosthiazale  ;Pesticide residues;Belgium;France;Belgium"
"3373;alert notification;2022-09-01;2022.5069;Belgium;Ambrosia in soybeans;feed materials;feed;serious;Physical treatment;Distribution to other member countries;Soybeans;ragweed (Ambrosia spp.) seeds  too high content;Composition;Canada;Belgium,Germany,Netherlands;Belgium"
"3374;information notification for attention;2022-09-01;2022.5062;Switzerland;Unauthorised colouring in blueberry fruit juice from Kosovo;non-alcoholic beverages;food;not serious;Withdrawal from the market;Product (presumably) no longer on the market;Blueberry juice plus;colour E 102 - tartrazine unauthorised use,colour E 110 - Sunset Yellow FCF unauthorised use,colour E 122 - azorubine unauthorised use,colour E 124 - Ponceau 4R / cochineal red A unauthorised use;Food additives and flavourings;Kosovo;Serbia,Switzerland;Switzerland"
